id_detail,departamentos,key_fecha,vaccine_header,doses_aplicadas
1,AMAZONAS,1,bcg_dosis_unica,1503
2,AMAZONAS,1,hb_d_unica,1368
3,AMAZONAS,1,antipolio_1ras_dosis,1560
4,AMAZONAS,1,vop_3_dosis,1445
5,AMAZONAS,1,penta_1ras_dosis,1557
6,AMAZONAS,1,penta_2das_dosis,1513
7,AMAZONAS,1,penta_3ras_dosis,1444
8,AMAZONAS,1,rotavirus_1ra_dosis,1424
9,AMAZONAS,1,rotavirus_2da_dosis,1448
10,AMAZONAS,1,flu_1ra_dosis,1419
11,AMAZONAS,1,flu_2da_dosis,1070
12,AMAZONAS,1,neumo_1ra_dosis,1545
13,AMAZONAS,1,neumo_2da_dosis,1503
14,AMAZONAS,1,srp_u_dosis,1575
15,AMAZONAS,1,varicela_u_dosis,1563
16,AMAZONAS,1,fa_u_dosis,1869
17,AMAZONAS,1,neumo_m12_ref,1547
18,AMAZONAS,1,vop_1er_ref,1517
19,AMAZONAS,1,dpt_1er_ref,1517
20,AMAZONAS,1,vop_2do_ref,1478
21,AMAZONAS,1,dpt_5an_2do_ref,1478
22,AMAZONAS,1,srp_5anosref,1468
23,AMAZONAS,1,tdap_unica_dosis_en_cada_embarazo,1077
24,ANTIOQUIA,1,bcg_dosis_unica,75215
25,ANTIOQUIA,1,hb_d_unica,74126
26,ANTIOQUIA,1,antipolio_1ras_dosis,75821
27,ANTIOQUIA,1,vop_3_dosis,73969
28,ANTIOQUIA,1,penta_1ras_dosis,75935
29,ANTIOQUIA,1,penta_2das_dosis,75375
30,ANTIOQUIA,1,penta_3ras_dosis,74329
31,ANTIOQUIA,1,rotavirus_1ra_dosis,74104
32,ANTIOQUIA,1,rotavirus_2da_dosis,73897
33,ANTIOQUIA,1,flu_1ra_dosis,56768
34,ANTIOQUIA,1,flu_2da_dosis,42336
35,ANTIOQUIA,1,neumo_1ra_dosis,73013
36,ANTIOQUIA,1,neumo_2da_dosis,68259
37,ANTIOQUIA,1,srp_u_dosis,76176
38,ANTIOQUIA,1,varicela_u_dosis,75795
39,ANTIOQUIA,1,fa_u_dosis,61520
40,ANTIOQUIA,1,neumo_m12_ref,69229
41,ANTIOQUIA,1,vop_1er_ref,70175
42,ANTIOQUIA,1,dpt_1er_ref,70546
43,ANTIOQUIA,1,vop_2do_ref,73860
44,ANTIOQUIA,1,dpt_5an_2do_ref,73294
45,ANTIOQUIA,1,srp_5anosref,73823
46,ANTIOQUIA,1,tdap_unica_dosis_en_cada_embarazo,65742
47,ARAUCA,1,bcg_dosis_unica,4415
48,ARAUCA,1,hb_d_unica,4331
49,ARAUCA,1,antipolio_1ras_dosis,4651
50,ARAUCA,1,vop_3_dosis,4500
51,ARAUCA,1,penta_1ras_dosis,4646
52,ARAUCA,1,penta_2das_dosis,4615
53,ARAUCA,1,penta_3ras_dosis,4499
54,ARAUCA,1,rotavirus_1ra_dosis,4471
55,ARAUCA,1,rotavirus_2da_dosis,4485
56,ARAUCA,1,flu_1ra_dosis,2922
57,ARAUCA,1,flu_2da_dosis,2296
58,ARAUCA,1,neumo_1ra_dosis,4715
59,ARAUCA,1,neumo_2da_dosis,4511
60,ARAUCA,1,srp_u_dosis,4537
61,ARAUCA,1,varicela_u_dosis,4496
62,ARAUCA,1,fa_u_dosis,5161
63,ARAUCA,1,neumo_m12_ref,4418
64,ARAUCA,1,vop_1er_ref,4002
65,ARAUCA,1,dpt_1er_ref,4001
66,ARAUCA,1,vop_2do_ref,4520
67,ARAUCA,1,dpt_5an_2do_ref,4523
68,ARAUCA,1,srp_5anosref,4522
69,ARAUCA,1,tdap_unica_dosis_en_cada_embarazo,3628
70,ATLANTICO,1,bcg_dosis_unica,20653
71,ATLANTICO,1,hb_d_unica,18857
72,ATLANTICO,1,antipolio_1ras_dosis,19610
73,ATLANTICO,1,vop_3_dosis,20551
74,ATLANTICO,1,penta_1ras_dosis,19555
75,ATLANTICO,1,penta_2das_dosis,20019
76,ATLANTICO,1,penta_3ras_dosis,20610
77,ATLANTICO,1,rotavirus_1ra_dosis,19345
78,ATLANTICO,1,rotavirus_2da_dosis,19803
79,ATLANTICO,1,flu_1ra_dosis,13271
80,ATLANTICO,1,flu_2da_dosis,7393
81,ATLANTICO,1,neumo_1ra_dosis,18180
82,ATLANTICO,1,neumo_2da_dosis,18103
83,ATLANTICO,1,srp_u_dosis,21391
84,ATLANTICO,1,varicela_u_dosis,20701
85,ATLANTICO,1,fa_u_dosis,19229
86,ATLANTICO,1,neumo_m12_ref,18776
