departamentos,programatica1_ano,key_fecha,vaccine_header,doses_aplicadas,pct_cobertura
AMAZONAS,1845,1,bcg_dosis_unica,1503,0.81
AMAZONAS,1845,1,hb_d_unica,1368,0.74
AMAZONAS,1845,1,antipolio_1ras_dosis,1560,0.85
AMAZONAS,1845,1,vop_3_dosis,1445,0.78
AMAZONAS,1845,1,penta_1ras_dosis,1557,0.84
AMAZONAS,1845,1,penta_2das_dosis,1513,0.82
AMAZONAS,1845,1,penta_3ras_dosis,1444,0.78
AMAZONAS,1845,1,rotavirus_1ra_dosis,1424,0.77
AMAZONAS,1845,1,rotavirus_2da_dosis,1448,0.78
AMAZONAS,1845,1,flu_1ra_dosis,1419,0.77
AMAZONAS,1845,1,flu_2da_dosis,1070,0.58
AMAZONAS,1845,1,neumo_1ra_dosis,1545,0.84
AMAZONAS,1845,1,neumo_2da_dosis,1503,0.81
AMAZONAS,1845,1,srp_u_dosis,1575,0.85
AMAZONAS,1845,1,varicela_u_dosis,1563,0.85
AMAZONAS,1845,1,fa_u_dosis,1869,1.01
AMAZONAS,1845,1,neumo_m12_ref,1547,0.84
AMAZONAS,1845,1,vop_1er_ref,1517,0.82
AMAZONAS,1845,1,dpt_1er_ref,1517,0.82
AMAZONAS,1845,1,vop_2do_ref,1478,0.8
AMAZONAS,1845,1,dpt_5an_2do_ref,1478,0.8
AMAZONAS,1845,1,srp_5anosref,1468,0.8
AMAZONAS,1845,1,tdap_unica_dosis_en_cada_embarazo,1077,0.58
ANTIOQUIA,79793,1,bcg_dosis_unica,75215,0.94
ANTIOQUIA,79793,1,hb_d_unica,74126,0.93
ANTIOQUIA,79793,1,antipolio_1ras_dosis,75821,0.95
ANTIOQUIA,79793,1,vop_3_dosis,73969,0.93
ANTIOQUIA,79793,1,penta_1ras_dosis,75935,0.95
ANTIOQUIA,79793,1,penta_2das_dosis,75375,0.94
ANTIOQUIA,79793,1,penta_3ras_dosis,74329,0.93
ANTIOQUIA,79793,1,rotavirus_1ra_dosis,74104,0.93
ANTIOQUIA,79793,1,rotavirus_2da_dosis,73897,0.93
ANTIOQUIA,79793,1,flu_1ra_dosis,56768,0.71
ANTIOQUIA,79793,1,flu_2da_dosis,42336,0.53
ANTIOQUIA,79793,1,neumo_1ra_dosis,73013,0.92
ANTIOQUIA,79793,1,neumo_2da_dosis,68259,0.86
ANTIOQUIA,79793,1,srp_u_dosis,76176,0.95
ANTIOQUIA,79793,1,varicela_u_dosis,75795,0.95
ANTIOQUIA,79793,1,fa_u_dosis,61520,0.77
ANTIOQUIA,79793,1,neumo_m12_ref,69229,0.87
ANTIOQUIA,79793,1,vop_1er_ref,70175,0.88
ANTIOQUIA,79793,1,dpt_1er_ref,70546,0.88
ANTIOQUIA,79793,1,vop_2do_ref,73860,0.93
ANTIOQUIA,79793,1,dpt_5an_2do_ref,73294,0.92
ANTIOQUIA,79793,1,srp_5anosref,73823,0.93
ANTIOQUIA,79793,1,tdap_unica_dosis_en_cada_embarazo,65742,0.82
ARAUCA,4430,1,bcg_dosis_unica,4415,1.0
ARAUCA,4430,1,hb_d_unica,4331,0.98
ARAUCA,4430,1,antipolio_1ras_dosis,4651,1.05
ARAUCA,4430,1,vop_3_dosis,4500,1.02
ARAUCA,4430,1,penta_1ras_dosis,4646,1.05
ARAUCA,4430,1,penta_2das_dosis,4615,1.04
ARAUCA,4430,1,penta_3ras_dosis,4499,1.02
ARAUCA,4430,1,rotavirus_1ra_dosis,4471,1.01
ARAUCA,4430,1,rotavirus_2da_dosis,4485,1.01
ARAUCA,4430,1,flu_1ra_dosis,2922,0.66
ARAUCA,4430,1,flu_2da_dosis,2296,0.52
ARAUCA,4430,1,neumo_1ra_dosis,4715,1.06
ARAUCA,4430,1,neumo_2da_dosis,4511,1.02
ARAUCA,4430,1,srp_u_dosis,4537,1.02
ARAUCA,4430,1,varicela_u_dosis,4496,1.01
ARAUCA,4430,1,fa_u_dosis,5161,1.17
ARAUCA,4430,1,neumo_m12_ref,4418,1.0
ARAUCA,4430,1,vop_1er_ref,4002,0.9
ARAUCA,4430,1,dpt_1er_ref,4001,0.9
ARAUCA,4430,1,vop_2do_ref,4520,1.02
ARAUCA,4430,1,dpt_5an_2do_ref,4523,1.02
ARAUCA,4430,1,srp_5anosref,4522,1.02
ARAUCA,4430,1,tdap_unica_dosis_en_cada_embarazo,3628,0.82
ATLANTICO,21016,1,bcg_dosis_unica,20653,0.98
ATLANTICO,21016,1,hb_d_unica,18857,0.9
ATLANTICO,21016,1,antipolio_1ras_dosis,19610,0.93
ATLANTICO,21016,1,vop_3_dosis,20551,0.98
ATLANTICO,21016,1,penta_1ras_dosis,19555,0.93
ATLANTICO,21016,1,penta_2das_dosis,20019,0.95
ATLANTICO,21016,1,penta_3ras_dosis,20610,0.98
ATLANTICO,21016,1,rotavirus_1ra_dosis,19345,0.92
ATLANTICO,21016,1,rotavirus_2da_dosis,19803,0.94
ATLANTICO,21016,1,flu_1ra_dosis,13271,0.63
ATLANTICO,21016,1,flu_2da_dosis,7393,0.35
ATLANTICO,21016,1,neumo_1ra_dosis,18180,0.87
ATLANTICO,21016,1,neumo_2da_dosis,18103,0.86
ATLANTICO,21016,1,srp_u_dosis,21391,1.02
ATLANTICO,21016,1,varicela_u_dosis,20701,0.99
ATLANTICO,21016,1,fa_u_dosis,19229,0.91
ATLANTICO,21016,1,neumo_m12_ref,18776,0.89
ATLANTICO,21016,1,vop_1er_ref,20131,0.96
ATLANTICO,21016,1,dpt_1er_ref,20497,0.98
ATLANTICO,21016,1,vop_2do_ref,20083,0.96
ATLANTICO,21016,1,dpt_5an_2do_ref,21028,1.0
ATLANTICO,21016,1,srp_5anosref,20761,0.99
ATLANTICO,21016,1,tdap_unica_dosis_en_cada_embarazo,12954,0.62
BARRANQUILLA,21875,1,bcg_dosis_unica,22270,1.02
BARRANQUILLA,21875,1,hb_d_unica,21851,1.0
BARRANQUILLA,21875,1,antipolio_1ras_dosis,21771,1.0
BARRANQUILLA,21875,1,vop_3_dosis,21238,0.97
BARRANQUILLA,21875,1,penta_1ras_dosis,21840,1.0
BARRANQUILLA,21875,1,penta_2das_dosis,21341,0.98
BARRANQUILLA,21875,1,penta_3ras_dosis,21305,0.97
BARRANQUILLA,21875,1,rotavirus_1ra_dosis,21570,0.99
BARRANQUILLA,21875,1,rotavirus_2da_dosis,21068,0.96
BARRANQUILLA,21875,1,flu_1ra_dosis,18632,0.85
BARRANQUILLA,21875,1,flu_2da_dosis,12802,0.59
BARRANQUILLA,21875,1,neumo_1ra_dosis,21952,1.0
BARRANQUILLA,21875,1,neumo_2da_dosis,20979,0.96
BARRANQUILLA,21875,1,srp_u_dosis,21552,0.99
BARRANQUILLA,21875,1,varicela_u_dosis,20833,0.95
BARRANQUILLA,21875,1,fa_u_dosis,16019,0.73
BARRANQUILLA,21875,1,neumo_m12_ref,21166,0.97
BARRANQUILLA,21875,1,vop_1er_ref,20293,0.93
BARRANQUILLA,21875,1,dpt_1er_ref,20324,0.93
BARRANQUILLA,21875,1,vop_2do_ref,19112,0.87
BARRANQUILLA,21875,1,dpt_5an_2do_ref,19171,0.88
BARRANQUILLA,21875,1,srp_5anosref,19158,0.88
BARRANQUILLA,21875,1,tdap_unica_dosis_en_cada_embarazo,17536,0.8
BOGOTA D.C.,105341,1,bcg_dosis_unica,112338,1.07
BOGOTA D.C.,105341,1,hb_d_unica,112126,1.06
BOGOTA D.C.,105341,1,antipolio_1ras_dosis,99815,0.95
BOGOTA D.C.,105341,1,vop_3_dosis,100535,0.95
BOGOTA D.C.,105341,1,penta_1ras_dosis,99870,0.95
BOGOTA D.C.,105341,1,penta_2das_dosis,100891,0.96
BOGOTA D.C.,105341,1,penta_3ras_dosis,100560,0.95
BOGOTA D.C.,105341,1,rotavirus_1ra_dosis,98863,0.94
