Departamento,key_fecha,Numero_nacimientos
ANTIOQUIA,0,76684
ATLANTICO,0,43453
BOGOTA D.C.,0,108969
BOLIVAR,0,34906
BOYACA,0,14921
CALDAS,0,9298
CAQUETA,0,7223
CAUCA,0,15991
CESAR,0,20118
CORDOBA,0,27000
CUNDINAMARCA,0,20462
CHOCO,0,5304
HUILA,0,20355
LA GUAJIRA,0,17583
MAGDALENA,0,24162
META,0,15860
NARIÑO,0,18528
NORTE DE SANTANDER,0,21114
QUINDIO,0,6163
RISARALDA,0,11037
SANTANDER,0,30776
SUCRE,0,16542
TOLIMA,0,16391
VALLE DEL CAUCA,0,53322
ARAUCA,0,4647
CASANARE,0,6042
PUTUMAYO,0,4195
SAN ANDRES ISLA,0,804
AMAZONAS,0,1433
GUAINIA,0,834
GUAVIARE,0,1279
VAUPES,0,576
VICHADA,0,732
ANTIOQUIA,1,74504
ATLANTICO,1,43800
BOGOTA D.C.,1,103565
BOLIVAR,1,34179
BOYACA,1,13778
CALDAS,1,8758
CAQUETA,1,7034
CAUCA,1,15143
CESAR,1,22577
CORDOBA,1,26524
CUNDINAMARCA,1,20466
CHOCO,1,6663
HUILA,1,19268
LA GUAJIRA,1,21029
MAGDALENA,1,23938
META,1,15421
NARIÑO,1,18224
NORTE DE SANTANDER,1,23431
QUINDIO,1,5887
RISARALDA,1,10637
SANTANDER,1,29562
SUCRE,1,16569
TOLIMA,1,15871
VALLE DEL CAUCA,1,50848
ARAUCA,1,5196
CASANARE,1,5976
PUTUMAYO,1,4029
SAN ANDRES ISLA,1,750
AMAZONAS,1,1382
GUAINIA,1,1018
GUAVIARE,1,1293
VAUPES,1,667
VICHADA,1,1128
AMAZONAS,2,1160
ANTIOQUIA,2,73011
ARAUCA,2,5847
SAN ANDRES ISLA,2,741
ATLANTICO,2,44414
BOGOTA D.C.,2,101090
BOLIVAR,2,34063
BOYACA,2,13303
CALDAS,2,8266
CAQUETA,2,6873
CASANARE,2,6181
CAUCA,2,14421
CESAR,2,22935
CHOCO,2,4312
CORDOBA,2,25219
CUNDINAMARCA,2,20958
GUAINIA,2,1105
GUAVIARE,2,1284
HUILA,2,17837
LA GUAJIRA,2,23967
MAGDALENA,2,24526
META,2,15083
NARIÑO,2,16738
NORTE DE SANTANDER,2,26430
PUTUMAYO,2,4030
QUINDIO,2,5491
RISARALDA,2,10585
SANTANDER,2,28299
SUCRE,2,16020
TOLIMA,2,14738
VALLE DEL CAUCA,2,48676
VAUPES,2,664
VICHADA,2,1553
AMAZONAS,3,1016
ANTIOQUIA,3,71099
ARAUCA,3,6593
ATLANTICO,3,45065
BOGOTA D.C.,3,95933
BOLIVAR,3,33985
BOYACA,3,12580
CALDAS,3,7830
CAQUETA,3,6646
CASANARE,3,6338
CAUCA,3,13653
CESAR,3,24654
CHOCO,3,3898
CORDOBA,3,24694
CUNDINAMARCA,3,21546
GUAINIA,3,1284
GUAVIARE,3,1277
HUILA,3,16515
LA GUAJIRA,3,27938
MAGDALENA,3,24969
META,3,14896
NARIÑO,3,15693
NORTE DE SANTANDER,3,29349
PUTUMAYO,3,4036
QUINDIO,3,5274
RISARALDA,3,10273
SAN ANDRES ISLA,3,716
SANTANDER,3,26870
SUCRE,3,15671
TOLIMA,3,14034
VALLE DEL CAUCA,3,46691
VAUPES,3,703
VICHADA,3,2284
